id,spec,type,point
1,Space Gray,COLOR,1
2,Silver,COLOR,1
3,Gold,COLOR,1
4,2.3GHz i5 Dual-Core,CPU,1
5,2.4GHz i5 Quad-Core,CPU,2
6,2.6GHz i7 6-Core,CPU,5
7,2.3GHz i9 8-Core,CPU,8
8,Apple M1,CPU,13
9,1.6GHz i5 Dual-Core,CPU,2
10,1.8GHz i5 Dual-Core,CPU,2
11,1.2GHz Intel Core M3,CPU,1
12,1.3GHz i5 Dual-Core,CPU,2
13,3.6GHz i3 Quad-Core,CPU,5
14,3.0GHz i5 6-Core,CPU,8
15,3.1GHz i5 6-Core,CPU,8
16,3.7GHz i5 6-Core,CPU,8
17,Intel Iris Plus Graphics 655,GPU,8
18,Intel Iris Graphics 640,GPU,5
19,Intel UHD 617,GPU,3
20,Intel HD 6000,GPU,2
21,Intel HD 615,GPU,1
22,Radeon Pro 575X,GPU,13
23,Radeon Pro 580X,GPU,13
24,Radeon Pro 555X,GPU,5
25,Radeon Pro 560X,GPU,5
26,Radeon Pro 570X,GPU,8
27,13,MONITOR,1
28,13.3,MONITOR,2
29,15,MONITOR,3
30,16,MONITOR,8
31,15.6,MONITOR,5
32,64,RAM,13
33,4GB,RAM,1
34,8GB,RAM,3
35,16GB,RAM,5
36,32GB,RAM,8
37,LED,RESOLUTION,2
38,HD,RESOLUTION,1
39,5K Retina,RESOLUTION,8
40,4K Retina,RESOLUTION,3
41,128 GB,ROM,1
42,256 GB,ROM,2
43,512 GB,ROM,3
44,1 TB,ROM,5
45,128 GB,ROMSSD,5
46,256 GB,ROMSSD,8
47,512 GB,ROMSSD,13
48,1 TB,ROMSSD,21
49,2013,YEAR,2
50,2017,YEAR,5
51,2018,YEAR,5
52,2019,YEAR,8
53,2020,YEAR,13
54,2021,YEAR,13